symbol,company_name,sector,sub_sector,website,face_value,book_value
DRREDDY,Dr Reddys Laboratories Ltd,,,https://www.drreddys.com/,1,369
EICHERMOT,Eicher Motors Ltd,,,https://www.eicher.in/,1,693
GAIL,GAIL (India) Ltd,,,https://gailonline.com/,10,127
GODREJCP,Godrej Consumer Products Ltd,,,https://www.godrejcp.com/,1,119
GRASIM,Grasim Industries Ltd,,,https://www.grasim.com/,2,1411
HAL,Hindustan Aeronautics Ltd,,,https://hal-india.co.in/,5,465
HAVELLS,Havells India Ltd,,,https://havells.com/,1,124
HCLTECH,HCL Technologies Ltd,,,https://www.hcltech.com/,2,254
HDFCBANK,HDFC Bank Ltd,,,http://www.hdfcbank.com/,1,601
HDFCLIFE,HDFC Life Insurance Company Ltd,,,http://www.hdfclife.com/,10,73
HEROMOTOCO,"Hero MotoCorp Ltd
",,,http://www.heromotocorp.com/,2,951
HINDALCO,Hindalco Industries Ltd,,,http://www.hindalco.com/,1,153
HINDUNILVR,"Hindustan Unilever Ltd
",,,http://www.hul.co.in/,1,216
ICICIBANK,ICICI Bank Ltd,,,http://www.icicibank.com/,2,365
ICICIGI,ICICI Lombard General Insurance Company Ltd,,,http://www.icicilombard.com/,10,275
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,,,https://www.iciciprulife.com/,10,80
INDIGO,Interglobe Aviation Ltd,,,http://www.goindigo.in/,10,97
INDUSINDBK,IndusInd Bank Ltd,,,https://www.indusind.com/in/en/personal.html,10,807
INFY,Infosys Ltd,,,http://www.infosys.com/,5,218
IOC,"Indian Oil Corporation
",,,https://www.iocl.com/,10,129
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,,,http://www.irctc.com/,2,44
IRFC,Indian Railway Finance Corporation Ltd,,,https://irfc.co.in/,10,39
ITC,"ITC Ltd
",,,https://www.itcportal.com/,1,60
JINDALSTEL,Jindal Steel & Power Ltd,,,http://www.jindalsteelpower.com/,1,464
JIOFIN,Jio Financial Services Ltd,,,https://www.jfs.in/,10,216
JSWENERGY,JSW Energy Ltd,,,https://www.jsw.in/,10,160
JSWSTEEL,JSW Steel Ltd,,,https://www.jswsteel.in/,1,326
KOTAKBANK,"Kotak Mahindra Bank Ltd
",,,https://www.kotak.com/en/home.html,5,654
LICI,Life Insurance Corporation of India,,,https://www.licindia.in/,10,154
LODHA,Macrotech Developers Ltd,,,https://www.lodhagroup.com/,10,183
LT,Larsen & Toubro Ltd,,,https://www.larsentoubro.com/,2,635
LTIM,LTIMindtree Ltd,,,https://www.ltimindtree.com/,1,711
M&M,"Mahindra & Mahindra Ltd
",,,https://auto.mahindra.com/,5,567
MARUTI,Maruti Suzuki India Ltd,,,https://www.marutisuzuki.com/,5,2835
MOTHERSON,Samvardhana Motherson International Ltd,,,http://www.motherson.com/,1,46
NAUKRI,Info Edge (India) Ltd,,,http://www.infoedge.in/,10,3225
NESTLEIND,Nestle India Ltd,,,https://www.nestle.in/,1,41
NHPC,"NHPC Ltd
",,,http://www.nhpcindia.com/,10,40
NTPC,NTPC Ltd,,,https://ntpc.co.in/,10,174
ONGC,Oil & Natural Gas Corpn Ltd,,,https://www.ongcindia.com/,5,275
PFC,Power Finance Corporation Ltd,,,https://www.pfcindia.com/,10,333
PIDILITIND,Pidilite Industries Ltd,,,http://www.pidilite.com/,1,171
PNB,Punjab National Bank,,,https://www.pnbindia.in/,2,110
POWERGRID,Power Grid Corporation of India Ltd,,,https://www.powergrid.in/,10,99
RECLTD,REC Ltd,,,https://recindia.nic.in/,10,279
RELIANCE,"Reliance Industries Ltd
",,,https://www.ril.com/,10,606
SBILIFE,SBI Life Insurance Company Ltd,,,https://www.sbilife.co.in/,10,162
SBIN,State Bank of India,,,https://sbi.co.in/,1,465
SHREECEM,Shree Cement Ltd,,,https://www.shreecement.com/,10,5787
SHRIRAMFIN,"Shriram Finance Ltd
",,,https://www.shriramfinance.in/,2,279
SIEMENS,Siemens Ltd,,,https://www.siemens.com/in/en.html,2,431
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,,,https://sunpharma.com/,1,288
TATACONSUM,Tata Consumer Products Ltd,,,https://www.tataconsumer.com/,1,193
TATAMOTORS,Tata Motors Ltd,,,https://www.tatamotors.com/,2,275
TATAPOWER,"Tata Power Company Ltd
",,,https://www.tatapower.com/,1,105
TATASTEEL,"Tata Steel Ltd
",,,https://www.tatasteel.com/,1,72
TCS,Tata Consultancy Services Ltd,,,https://www.tcs.com/,1,281
TECHM,Tech Mahindra Ltd,,,https://www.techmahindra.com/,5,270
TITAN,"Titan Company Ltd
",,,https://www.titancompany.in/,1,110
TORNTPHARM,Torrent Pharmaceuticals Ltd,,,https://www.torrentpharma.com/,5,222
TRENT,Trent Ltd,,,https://trentlimited.com/,1,132
TVSMOTOR,TVS Motor Company Ltd,,,,0,0
